original_index,sms_text,predicted_is_otp,predicted_otp_intent,is_phishing,verification_is_otp,verification_otp_intent,verification_is_phishing,verification_model,verification_badge,verification_timestamp,needs_manual_review,is_phishing_bool,predicted_is_phishing,raw_response,elapsed_seconds,pred_bool,correct
46857,0870 08707509020 1327 20p 5wb box chance cr9 croydon fantasies fantasy hot just live min national ntt po rate,False,NOT_OTP,True,False,True,True,llama-3.3-70b-versatile,,2025-11-12T09:02:47.294148Z,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]",66.01089811325073,True,True
53374,बैंक से आपको एक बड़ा फंड ट्रांसफर हुआ है! चेक करने के लिए इस लिंक पर क्लिक करें: www.bankupdate.com,False,NOT_OTP,True,True,True,False,llama-3.3-70b-versatile,,2025-11-12T09:18:54.900827Z,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]",66.01089811325073,True,True
46363,16 1st 87131 free help join poly real reply ringtone stop text tone tones true txt wk,False,NOT_OTP,True,False,True,True,llama-3.3-70b-versatile,,2025-11-12T09:01:37.178703Z,True,True,False,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]",66.01089811325073,False,False
46934,00 03 05 5000 calling careful claim details draw enter hi mobile personal prize receive tells ur,False,NOT_OTP,True,False,True,True,llama-3.3-70b-versatile,,2025-11-12T09:02:57.002469Z,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]",66.01089811325073,True,True
50109,আপনার ড্রাইভিং লাইসেন্স আপডেট করতে কল করুন +8801815566778,False,NOT_OTP,True,False,True,True,llama-3.3-70b-versatile,,2025-11-12T09:10:44.172604Z,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]",66.01089811325073,True,True
53587,ओमेक्स फ़ॉरेस्ट-सूरजकुंड अल्ट्रा लक्ज़री अपार्टमेंट-2520 वर्गफुट से बीएसपी @5500 रुपये/वर्ग। केवल फीट 114 फ्लैट। लाइसेंस प्राप्त। कृपया राजेश को कॉल करें 09810238760,False,NOT_OTP,True,True,True,False,llama-3.3-70b-versatile,,2025-11-12T09:19:27.491103Z,True,True,False,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]",66.01089811325073,False,False
53587,ओमेक्स फ़ॉरेस्ट-सूरजकुंड अल्ट्रा लक्ज़री अपार्टमेंट-2520 वर्गफुट से बीएसपी @5500 रुपये/वर्ग। केवल फीट 114 फ्लैट। लाइसेंस प्राप्त। कृपया राजेश को कॉल करें 09810238760,False,NOT_OTP,True,True,True,False,llama-3.3-70b-versatile,,2025-11-12T09:19:27.491103Z,True,True,False,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]",66.01089811325073,False,False
54449,आपके आधार कार्ड में समस्या है। अपडेट करें: https://aadharhelp.net/nKJ98Lm4 -AadharFix।,False,NOT_OTP,True,True,True,False,llama-3.3-70b-versatile,,2025-11-12T09:21:34.204420Z,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]",66.01089811325073,True,True
46654,100 150ppm 16 500 5000 await box cash collection cost cs drop holiday landline mobile ntt po sae shop till travel urgent vary voucher,False,NOT_OTP,True,False,True,False,llama-3.3-70b-versatile,,2025-11-12T09:02:18.614068Z,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]",66.01089811325073,True,True
47575,100 4u 500 87066 awarded cd cds com1win150ppmx3age16 congratulations draw entry free gift guaranteed ldew music tncs txt ur vouchers wkly www,False,NOT_OTP,True,True,True,False,llama-3.3-70b-versatile,,2025-11-12T09:04:24.829167Z,True,True,True,"[
  {""id"": ""46857"", ""is_phishing"": true},
  {""id"": ""53374"", ""is_phishing"": true},
  {""id"": ""46363"", ""is_phishing"": false},
  {""id"": ""46934"", ""is_phishing"": true},
  {""id"": ""50109"", ""is_phishing"": true},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""53587"", ""is_phishing"": false},
  {""id"": ""54449"", ""is_phishing"": true},
  {""id"": ""46654"", ""is_phishing"": true},
  {""id"": ""47575"", ""is_phishing"": true},
  {""id"": ""44455"", ""is_phishing"": false}
]",66.01089811325073,True,True
