original_index,sms_text,predicted_is_otp,predicted_otp_intent,is_phishing,is_phishing_truth,predicted_is_phishing,model_id,model_name,raw_response,elapsed_seconds,pred_bool,correct
45539,apply available camera claim customer ends free loyalty offer opt orange phone,False,NOT_OTP,True,True,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,True
45539,apply available camera claim customer ends free loyalty offer opt orange phone,False,NOT_OTP,True,True,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,True
45967,did heard just like luv make net night time xx,False,NOT_OTP,True,True,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,True
45967,did heard just like luv make net night time xx,False,NOT_OTP,True,True,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,True
50503,আপনার নম্বরটি পুরস্কার জিতেছে। বিস্তারিত জানতে কল করুন +8801713344556,False,NOT_OTP,True,True,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,True
50503,আপনার নম্বরটি পুরস্কার জিতেছে। বিস্তারিত জানতে কল করুন +8801713344556,False,NOT_OTP,True,True,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,True
51178,हे ! आज रूम में मैगी बनाएँ हैं तुम खाओगे तो बोलो तुम्हारे लिए भी बनादे?,False,NOT_OTP,False,False,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,False
51178,हे ! आज रूम में मैगी बनाएँ हैं तुम खाओगे तो बोलो तुम्हारे लिए भी बनादे?,False,NOT_OTP,False,False,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,False
47081,08712460324 10p chat cheap cheaper gay hot january min national rate sale stop texts,False,NOT_OTP,True,True,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,True
47081,08712460324 10p chat cheap cheaper gay hot january min national rate sale stop texts,False,NOT_OTP,True,True,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,True
46518,000 02 03 2nd 900 attempt awaiting awarded bonus caller claim collection contact mobile prize urgent yesterday,False,NOT_OTP,True,True,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,True
46518,000 02 03 2nd 900 attempt awaiting awarded bonus caller claim collection contact mobile prize urgent yesterday,False,NOT_OTP,True,True,True,gemma3:1b,Gemma3 1B,"```json
{""id"": ""45539"", ""is_phishing"": true}
{""id"": ""45967"", ""is_phishing"": true}
{""id"": ""50503"", ""is_phishing"": true}
{""id"": ""51178"", ""is_phishing"": true}
{""id"": ""47081"", ""is_phishing"": true}
{""id"": ""46518"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
{""id"": ""48434"", ""is_phishing"": true}
{""id"": ""42241"", ""is_phishing"": true}
{""id"": ""48073"", ""is_phishing"": true}
{""id"": ""41253"", ""is_phishing"": true}
```",39.43140459060669,True,True
