id,sender,body,timestamp,language,is_otp,otp_intent,share_advice
synthetic_APP_ACCOUNT_CHANGE_OTP_1,,Use OTP 102405 to switch your Facebook account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_2,,"To update your Instagram account details, enter OTP 248446. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_3,,Use OTP 542613 to switch your Telegram account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_4,,WhatsApp code 983937 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_5,,Use 920064 to change your Google phone number. Do not share this code with anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_6,,"To update your WhatsApp account details, enter OTP 332456. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_7,,Use OTP 326459 to switch your Facebook account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_8,,"To update your Google account details, enter OTP 675422. Never share this OTP with anyone.",,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_9,,WhatsApp code 642636 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_10,,Use 118410 to change your Facebook phone number. Do not share this code with anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_11,,Instagram code 140319 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_12,,Use OTP 259709 to switch your Twitter account to a new device. Do not reveal this to anyone.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_13,,Your Google verification code is 237172 for number change request. Ignore if not requested by you.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_14,,Your Google verification code is 336355 for number change request. Ignore if not requested by you.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
synthetic_APP_ACCOUNT_CHANGE_OTP_15,,Twitter code 453964 is for changing your registered mobile number. Do not disclose it on calls.,,en,YES,APP_ACCOUNT_CHANGE_OTP,NEVER_SHARE
